N, Time(Dense), Time(Sparse), Speedup, check dense, check sparse
500, 3.88e-04, 3.38e-05, 11.455999, 75.000000, 75.000000 
500, 3.74e-04, 3.38e-05, 11.079147, 75.000000, 75.000000 
500, 3.79e-04, 3.39e-05, 11.183860, 75.000000, 75.000000 
1000, 1.51e-03, 3.72e-05, 40.577497, 75.000000, 75.000000 
1000, 1.51e-03, 3.70e-05, 40.869700, 75.000000, 75.000000 
1000, 1.50e-03, 3.66e-05, 41.079617, 75.000000, 75.000000 
2000, 3.73e-03, 3.70e-05, 100.642338, 75.000000, 75.000000 
2000, 3.84e-03, 3.63e-05, 105.864463, 75.000000, 75.000000 
2000, 3.65e-03, 3.63e-05, 100.396849, 75.000000, 75.000000 
4000, 1.25e-02, 3.54e-05, 352.352373, 75.000000, 75.000000 
4000, 1.31e-02, 3.55e-05, 368.831174, 75.000000, 75.000000 
4000, 1.28e-02, 3.61e-05, 355.741528, 75.000000, 75.000000 
6000, 1.21e-02, 3.51e-05, 344.337404, 75.000000, 75.000000 
6000, 1.19e-02, 3.54e-05, 335.485924, 75.000000, 75.000000 
6000, 1.18e-02, 3.55e-05, 333.548480, 75.000000, 75.000000 
8000, 2.42e-02, 3.50e-05, 691.986368, 75.000000, 75.000000 
8000, 2.42e-02, 3.55e-05, 683.980113, 75.000000, 75.000000 
8000, 2.49e-02, 3.61e-05, 688.797259, 75.000000, 75.000000 
10000, 1.98e-02, 4.72e-05, 418.808009, 75.000000, 75.000000 
10000, 1.98e-02, 3.83e-05, 516.925634, 75.000000, 75.000000 
10000, 2.01e-02, 3.50e-05, 574.522031, 75.000000, 75.000000 
20000, 6.31e-02, 3.89e-05, 1622.713870, 75.000000, 75.000000 
20000, 6.20e-02, 3.84e-05, 1616.583781, 75.000000, 75.000000 
20000, 6.37e-02, 4.19e-05, 1520.370804, 75.000000, 75.000000 
30000, 1.87e-01, 4.05e-05, 4620.801705, 75.000000, 75.000000 
30000, 1.66e-01, 4.13e-05, 4013.748851, 75.000000, 75.000000 
30000, 1.78e-01, 4.21e-05, 4236.491186, 75.000000, 75.000000 
40000, 1.95e+00, 7.11e-05, 27362.291082, 75.000000, 75.000000 
40000, 1.53e+00, 7.28e-05, 20979.974584, 75.000000, 75.000000 
40000, 2.10e+00, 2.38e-04, 8837.742844, 75.000000, 75.000000 
50000, 2.77e+00, 1.94e-04, 14274.795002, 75.000000, 75.000000 
50000, 2.83e+00, 5.96e-05, 47418.461701, 75.000000, 75.000000 
50000, 2.79e+00, 6.60e-05, 42297.731687, 75.000000, 75.000000 
60000, 6.13e+00, 8.50e-05, 72086.439529, 75.000000, 75.000000 
60000, 5.78e+00, 8.76e-05, 65971.607889, 75.000000, 75.000000 
60000, 6.13e+00, 1.45e-04, 42167.919337, 75.000000, 75.000000 
