N, Prob, K, t1, t2, t3, total_time, distance
500, 0.00000, 6, 0.00,0.03,0.00, 0.03, 21.252000
500, 0.00000, 6, 0.00,0.03,0.00, 0.03, 21.252000
500, 0.00000, 6, 0.00,0.03,0.00, 0.03, 21.252000
1000, 0.00000, 6, 0.00,0.19,0.00, 0.19, 42.084000
1000, 0.00000, 6, 0.00,0.19,0.00, 0.19, 42.084000
1000, 0.00000, 6, 0.00,0.19,0.00, 0.19, 42.084000
2000, 0.00000, 6, 0.01,1.42,0.00, 1.43, 83.750500
2000, 0.00000, 6, 0.01,1.42,0.00, 1.43, 83.750500
2000, 0.00000, 6, 0.01,1.41,0.00, 1.43, 83.750500
2500, 0.00000, 6, 0.02,2.72,0.00, 2.74, 104.583600
2500, 0.00000, 6, 0.02,2.72,0.00, 2.74, 104.583600
2500, 0.00000, 6, 0.02,2.72,0.00, 2.74, 104.583600
3000, 0.00000, 6, 0.03,4.64,0.00, 4.68, 125.416667
3000, 0.00000, 6, 0.03,4.65,0.00, 4.68, 125.416667
3000, 0.00000, 6, 0.03,4.65,0.00, 4.68, 125.416667
3500, 0.00000, 6, 0.04,7.33,0.00, 7.37, 146.250286
3500, 0.00000, 6, 0.04,7.33,0.00, 7.37, 146.250286
3500, 0.00000, 6, 0.04,7.33,0.00, 7.37, 146.250286
4000, 0.00000, 6, 0.05,10.93,0.00, 10.98, 167.083500
4000, 0.00000, 6, 0.05,10.93,0.00, 10.98, 167.083500
4000, 0.00000, 6, 0.05,10.93,0.00, 10.98, 167.083500
5000, 0.00000, 6, 0.07,21.16,0.00, 21.23, 208.750200
5000, 0.00000, 6, 0.06,21.14,0.00, 21.21, 208.750200
5000, 0.00000, 6, 0.06,21.16,0.00, 21.23, 208.750200
6000, 0.00000, 6, 0.08,37.10,0.01, 37.19, 250.416667
6000, 0.00000, 6, 0.08,37.11,0.01, 37.19, 250.416667
6000, 0.00000, 6, 0.08,37.10,0.01, 37.18, 250.416667
